Date,Winter,Spring,Fall,DateIndex
1922-09-09,0,0,0,344
1922-09-10,0,0,0,345
1922-09-11,0,0,0,346
1922-09-12,0,0,0,347
1922-09-13,0,0,0,348
1922-09-14,0,0,0,349
1922-09-15,0,0,0,350
1922-09-16,0,0,0,351
1922-09-17,0,0,0,352
1922-09-18,0,0,0,353
1922-09-19,0,0,0,354
1922-09-20,0,0,0,355
1922-09-21,0,0,0,356
1922-09-22,0,0,0,357
1922-09-23,0,0,0,358
1922-09-24,0,0,0,359
1922-09-25,0,0,0,360
1922-09-26,0,0,0,361
1922-09-27,0,0,0,362
1922-09-28,0,0,0,363
1922-09-29,0,0,0,364
1922-09-30,0,0,0,365
1922-10-01,0,0,0,366
1922-10-02,4.35e-6,0,0,367
1922-10-03,5.45e-6,0,0,368
1922-10-04,6.77e-6,0,0,369
1922-10-05,8.3e-6,0,0,370
1922-10-06,1.01e-5,0,0,371
1922-10-07,1.2e-5,0,0,372
1922-10-08,1.42e-5,0,0,373
1922-10-09,1.67e-5,0,0,374
1922-10-10,1.92e-5,0,0,375
1922-10-11,2.2e-5,0,0,376
1922-10-12,2.49e-5,0,0,377
1922-10-13,2.78e-5,0,0,378
1922-10-14,3.08e-5,0,0,379
1922-10-15,3.38e-5,0,0,380
1922-10-16,3.67e-5,0,0,381
1922-10-17,3.97e-5,0,0,382
1922-10-18,4.26e-5,0,0,383
1922-10-19,4.55e-5,0,0,384
1922-10-20,4.85e-5,0,0,385
1922-10-21,5.17e-5,0,0,386
1922-10-22,5.52e-5,0,0,387
1922-10-23,5.93e-5,0,0,388
1922-10-24,6.41e-5,0,0,389
1922-10-25,7.01e-5,0,0,390
1922-10-26,7.75e-5,0,0,391
1922-10-27,8.69e-5,0,0,392
1922-10-28,9.85e-5,0,0,393
1922-10-29,1.12993e-4,0,0,394
1922-10-30,1.30741e-4,0,0,395
1922-10-31,1.52729e-4,0,0,396
1922-11-01,1.79155e-4,0,0,397
1922-11-02,2.11194e-4,0,0,398
1922-11-03,2.4926e-4,0,0,399
1922-11-04,2.94386e-4,0,0,400
1922-11-05,3.47031e-4,0,0,401
1922-11-06,4.08203e-4,0,0,402
1922-11-07,4.78471e-4,0,0,403
1922-11-08,5.58528e-4,0,0,404
1922-11-09,6.49049e-4,0,0,405
1922-11-10,7.50196e-4,0,0,406
1922-11-11,8.62659e-4,0,0,407
1922-11-12,9.86016e-4,0,0,408
1922-11-13,0.001120859,0,0,409
1922-11-14,0.001265754,0,0,410
1922-11-15,0.001421038,0,0,411
1922-11-16,0.00158483,0,0,412
1922-11-17,0.001756984,0,0,413
1922-11-18,0.001935524,0,0,414
1922-11-19,0.002119853,0,0,415
1922-11-20,0.002308221,0,0,416
1922-11-21,0.002500043,0,0,417
1922-11-22,0.002694048,0,0,418
1922-11-23,0.00288991,0,0,419
1922-11-24,0.003087162,0,0,420
1922-11-25,0.003286086,0,0,421
1922-11-26,0.003486962,0,0,422
1922-11-27,0.003690773,0,0,423
1922-11-28,0.003898151,0,0,424
1922-11-29,0.004110375,0,0,425
1922-11-30,0.00432799,0,0,426
1922-12-01,0.004551804,0,0,427
1922-12-02,0.004781793,0,0,428
1922-12-03,0.005017303,0,0,429
1922-12-04,0.005256839,0,0,430
1922-12-05,0.005498083,0,0,431
1922-12-06,0.005737756,0,0,432
1922-12-07,0.005971984,0,0,433
1922-12-08,0.006195456,0,0,434
1922-12-09,0.006403779,0,0,435
1922-12-10,0.006589923,0,0,436
1922-12-11,0.006750449,0,0,437
1922-12-12,0.006876342,0,0,438
1922-12-13,0.006968086,0,0,439
1922-12-14,0.007016817,0,0,440
1922-12-15,0.007025991,0,0,441
1922-12-16,0.006989992,0,0,442
1922-12-17,0.006914193,0,0,443
1922-12-18,0.006796301,0,0,444
1922-12-19,0.006644606,0,0,445
1922-12-20,0.006459605,0,0,446
1922-12-21,0.006250801,0,0,447
1922-12-22,0.006022424,0,0,448
1922-12-23,0.005783214,0,0,449
1922-12-24,0.00553923,0,0,450
1922-12-25,0.005297131,0,0,451
1922-12-26,0.005062951,0,0,452
1922-12-27,0.004841234,0,0,453
1922-12-28,0.004636279,0,0,454
1922-12-29,0.00445064,0,0,455
1922-12-30,0.004285986,0,0,456
1922-12-31,0.004143597,0,0,457
1923-01-01,0.004022216,0,0,458
1923-01-02,0.003921463,0,0,459
1923-01-03,0.003838524,0,0,460
1923-01-04,0.003772497,0,0,461
1923-01-05,0.003719833,0,0,462
1923-01-06,0.003679319,0,0,463
1923-01-07,0.00364779,0,0,464
1923-01-08,0.003624138,0,0,465
1923-01-09,0.00360602,0,0,466
1923-01-10,0.003593042,0,0,467
1923-01-11,0.0035836040000000002,0,0,468
1923-01-12,0.003577787,0,0,469
1923-01-13,0.003575076,0,0,470
1923-01-14,0.003576007,0,0,471
1923-01-15,0.003580569,0,0,472
1923-01-16,0.003589804,0,0,473
1923-01-17,0.003603809,0,0,474
1923-01-18,0.003623842,0,0,475
1923-01-19,0.003650195,0,0,476
1923-01-20,0.00368418,0,0,477
1923-01-21,0.00372611,0,0,478
1923-01-22,0.003777199,0,0,479
1923-01-23,0.003838109,0,0,480
1923-01-24,0.003909992,0,0,481
1923-01-25,0.003993977,0,0,482
1923-01-26,0.004091081,0,0,483
1923-01-27,0.004203064,0,0,484
1923-01-28,0.004330631,0,0,485
1923-01-29,0.004476457,0,0,486
1923-01-30,0.004640553,0,0,487
1923-01-31,0.004825826,0,0,488
1923-02-01,0.005031236,0,0,489
1923-02-02,0.005260175,0,0,490
1923-02-03,0.005510463,0,0,491
1923-02-04,0.0057845,0,0,492
1923-02-05,0.006079415,0,0,493
1923-02-06,0.006396714,0,0,494
1923-02-07,0.006731995,0,0,495
1923-02-08,0.007086094,0,0,496
1923-02-09,0.007453315,0,0,497
1923-02-10,0.007831771,0,0,498
1923-02-11,0.008216602,0,0,499
1923-02-12,0.008603911,0,0,500
1923-02-13,0.008989009,0,0,501
1923-02-14,0.009366628,0,0,502
1923-02-15,0.009732418,0,0,503
1923-02-16,0.01008067,1.51166e-4,0,504
1923-02-17,0.0104072,1.81907e-4,0,505
1923-02-18,0.01070655,2.18145e-4,0,506
1923-02-19,0.01097534,2.60697e-4,0,507
1923-02-20,0.01121034,3.10474e-4,0,508
1923-02-21,0.01140829,3.68477e-4,0,509
1923-02-22,0.0115686,4.35807e-4,0,510
1923-02-23,0.01168865,5.13659e-4,0,511
1923-02-24,0.01177088,6.03327e-4,0,512
1923-02-25,0.01181398,7.062e-4,0,513
1923-02-26,0.01182304,8.23759e-4,0,514
