Flow,SpeedSD
80870.58563,82.54452179
81223.73229,82.91397942
81576.87895,83.28345301
81930.02561,83.65294237
82283.17228,84.02244728
82636.31894,84.39196754
82989.4656,84.76150294
83342.61226,85.1310533
83695.75892,85.50061841
84048.90559,85.87019808
84402.05225,86.23979213
84755.19891,86.60940037
85108.34557,86.97902263
85461.49223,87.34865872
85814.6389,87.71830848
86167.78556,88.08797172
86520.93222,88.45764827
86874.07888,88.82733799
87227.22555,89.19704068
87580.37221,89.56675621
87933.51887,89.93648441
88286.66553,90.30622512
88639.81219,90.6759782
88992.95886,91.04574348
89346.10552,91.41552083
89699.25218,91.78531009
90052.39884,92.15511113
90405.5455,92.5249238
90758.69217,92.89474796
91111.83883,93.26458347
91464.98549,93.63443021
91818.13215,94.00428804
92171.27882,94.37415683
92524.42548,94.74403645
92877.57214,95.11392677
93230.7188,95.48382768
93583.86546,95.85373904
93937.01213,96.22366073
94290.15879,96.59359265
94643.30545,96.96353467
94996.45211,97.33348667
95349.59877,97.70344854
95702.74544,98.07342018
96055.8921,98.44340146
96409.03876,98.81339229
96762.18542,99.18339256
97115.33208,99.55340215
97468.47875,99.92342097
97821.62541,100.2934489
98174.77207,100.6634859
98527.91873,101.0335318
98881.0654,101.4035865
99234.21206,101.77365
99587.35872,102.143722
99940.50538,102.5138027
100293.652,102.8838918
100646.7987,103.2539892
100999.9454,103.6240949
101353.092,103.9942088
101706.2387,104.3643308
102059.3854,104.7344608
102412.532,105.1045987
102765.6787,105.4747444
103118.8253,105.844898
103471.972,106.2150592
103825.1187,106.5852279
104178.2653,106.9554043
104531.412,107.325588
104884.5587,107.6957791
105237.7053,108.0659775
105590.852,108.4361831
105943.9986,108.8063959
106297.1453,109.1766157
106650.292,109.5468425
107003.4386,109.9170763
107356.5853,110.2873169
107709.7319,110.6575643
