"BYDay","Daily_P","Date"
93,0.00173283435221715,2012-09-02
94,0.00173768564398523,2012-09-03
95,0.00174112169230564,2012-09-04
96,0.00174317613280169,2012-09-05
97,0.00174388070287902,2012-09-06
98,0.00174326499345613,2012-09-07
99,0.00174135639060322,2012-09-08
100,0.00173818021450817,2012-09-09
101,0.00173376005871787,2012-09-10
102,0.00172811832805386,2012-09-11
103,0.00172127696909519,2012-09-12
104,0.0017132583827818,2012-09-13
105,0.00170408650463543,2012-09-14
106,0.00169378803443292,2012-09-15
107,0.00168239379399567,2012-09-16
108,0.0016699401891612,2012-09-17
109,0.00165647075004082,2012-09-18
110,0.00164203772238384,2012-09-19
111,0.00162670368228101,2012-09-20
112,0.00161054314654358,2012-09-21
113,0.0015936441518585,2012-09-22
114,0.00157610977719224,2012-09-23
115,0.00155805958582003,2012-09-24
116,0.00153963096569917,2012-09-25
117,0.00152098034957429,2012-09-26
118,0.00150228429907579,2012-09-27
119,0.00148374044002121,2012-09-28
120,0.00146556823901952,2012-09-29
121,0.00144800961418208,2012-09-30
122,0.00143132937513893,2012-10-01
123,0.00141581548953957,2012-10-02
124,0.00140177917469197,2012-10-03
125,0.00138955481389862,2012-10-04
126,0.00137949969734221,2012-10-05
127,0.00137199358704709,2012-10-06
128,0.00136743810451638,2012-10-07
129,0.00136625593817091,2012-10-08
130,0.00136888986578006,2012-10-09
131,0.00137580158478827,2012-10-10
132,0.00138747034094612,2012-10-11
133,0.0014043913431126,2012-10-12
134,0.00142707394968554,2012-10-13
135,0.0014560396100303,2012-10-14
136,0.0014918195427054,2012-10-15
137,0.00153495213141829,2012-10-16
138,0.00158598001966096,2012-10-17
139,0.00164544688603046,2012-10-18
140,0.00171389388446274,2012-10-19
141,0.00179185573709116,2012-10-20
142,0.00187985647223572,2012-10-21
143,0.00197840480613857,2012-10-22
144,0.00208798917443844,2012-10-23
145,0.00220907242792138,2012-10-24
146,0.00234208621664347,2012-10-25
147,0.00248742509688826,2012-10-26
148,0.00264544040634438,2012-10-27
149,0.00281643396407332,2012-10-28
150,0.00300065166295451,2012-10-29
151,0.0031982770329931,2012-10-30
152,0.00340942486378884,2012-10-31
153,0.00363413498322577,2012-11-01
154,0.00387236629669841,2012-11-02
155,0.00412399119660951,2012-11-03
156,0.0043887904551681,2012-11-04
157,0.00466644871444092,2012-11-05
158,0.00495655068598614,2012-11-06
159,0.00525857816811316,2012-11-07
160,0.00557190798183133,2012-11-08
161,0.00589581091691835,2012-11-09
162,0.0062294517673813,2012-11-10
163,0.00657189052110436,2012-11-11
164,0.00692208475195703,2012-11-12
165,0.007278893244419,2012-11-13
166,0.00764108086126462,2012-11-14
167,0.00800732464448564,2012-11-15
168,0.00837622111888733,2012-11-16
169,0.00874629474715731,2012-11-17
170,0.00911600746516164,2012-11-18
171,0.0094837692072319,2012-11-19
172,0.00984794931370283,2012-11-20
173,0.010206888697324,2012-11-21
174,0.0105589126317266,2012-11-22
175,0.0109023440141362,2012-11-23
176,0.0112355169461639,2012-11-24
177,0.0115567904708974,2012-11-25
178,0.0118645623016747,2012-11-26
179,0.0121572823778206,2012-11-27
180,0.0124334660851578,2012-11-28
181,0.0126917069840984,2012-11-29
182,0.0129306888953814,2012-11-30
183,0.0131491972027887,2012-12-01
184,0.0133461273322903,2012-12-02
185,0.0135204977175773,2012-12-03
186,0.0136714584456613,2012-12-04
187,0.0137982943247467,2012-12-05
188,0.0139004324198297,2012-12-06
189,0.0139774464068856,2012-12-07
190,0.0140290595315764,2012-12-08
191,0.0140551461467419,2012-12-09
192,0.0140557318189828,2012-12-10
193,0.014030992010524,2012-12-11
194,0.0139812493581755,2012-12-12
195,0.0139069695864849,2012-12-13
196,0.0138087561070395,2012-12-14
197,0.0136873433702305,2012-12-15
198,0.0135435890495586,2012-12-16
199,0.0133784651516263,2012-12-17
200,0.013193048157212,2012-12-18
201,0.0129885083101103,2012-12-19
202,0.0127660981805922,2012-12-20
203,0.0125271406392044,2012-12-21
204,0.0122730163840148,2012-12-22
205,0.0120051511701052,2012-12-23
206,0.0117250028939462,2012-12-24
207,0.0114340486870675,2012-12-25
208,0.0111337721730242,2012-12-26
209,0.0108256510389238,2012-12-27
210,0.0105111450676655,2012-12-28
211,0.0101916847695155,2012-12-29
212,0.00986866074175645,2012-12-30
213,0.00954341387300179,2012-12-31
214,0.00921722649453168,2013-01-01
215,0.00889131456492105,2013-01-02
216,0.00856682095659303,2013-01-03
217,0.00824480989408857,2013-01-04
